Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180707-002533:829,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187585,31250,TRUE,58439,1y,10y,248524,498689,498689,1/1/1855,01/01/2015,171.4878768,590.1663325,2.62E-06,src/main/resources/valipop/results/batch53-fs/20180707-002533:829,0,0,0.5,0.1,TRUE,147,9174.441976,NONE,28,857.8663391,,
20180707-001910:306,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192351,31250,TRUE,58439,1y,10y,249467,500823,500823,1/1/1855,01/01/2015,164.7107179,1071.601125,2.55E-06,src/main/resources/valipop/results/batch53-fs/20180707-001910:306,0,0,0.7,0,TRUE,147,8178.830832,NONE,59,849.3321347,,
20180707-005237:522,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184965,31250,TRUE,58439,1y,10y,247888,497840,497840,1/1/1855,01/01/2015,171.2627981,596.6899633,2.68E-06,src/main/resources/valipop/results/batch53-fs/20180707-005237:522,0,0,0.5,0.1,TRUE,147,8992.582256,NONE,21,865.8270076,,
20180707-005359:904,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1325739,31250,TRUE,58439,1y,10y,277618,556319,556319,1/1/1855,01/01/2015,182.1107325,1080.643611,2.86E-06,src/main/resources/valipop/results/batch53-fs/20180707-005359:904,0,0,0.7,0,TRUE,147,8737.547704,NONE,2,874.0254154,,
20180707-011955:447,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189044,31250,TRUE,58439,1y,10y,248930,498934,498934,1/1/1855,01/01/2015,171.7720583,610.9910943,2.85E-06,src/main/resources/valipop/results/batch53-fs/20180707-011955:447,0,0,0.5,0.1,TRUE,147,9332.875704,NONE,22,872.767659,,
20180707-012941:379,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1070152,31250,TRUE,58439,1y,10y,223856,449243,449243,1/1/1855,01/01/2015,148.7771582,1022.982892,2.44E-06,src/main/resources/valipop/results/batch53-fs/20180707-012941:379,0,0,0.7,0,TRUE,147,8720.970272,NONE,8,807.3720287,,
20180707-014735:123,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185837,31250,TRUE,58439,1y,10y,248236,498333,498333,1/1/1855,01/01/2015,168.6190024,603.0732788,2.40E-06,src/main/resources/valipop/results/batch53-fs/20180707-014735:123,0,0,0.6,0.1,TRUE,147,11082.29863,NONE,15,848.976687,,
20180707-020244:566,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188170,31250,TRUE,58439,1y,10y,248571,498875,498875,1/1/1855,01/01/2015,162.1539979,1046.529539,2.65E-06,src/main/resources/valipop/results/batch53-fs/20180707-020244:566,0,0,0.8,0,TRUE,147,8554.58776,NONE,8,823.4947845,,
20180707-021439:933,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1325224,31250,TRUE,58439,1y,10y,277281,556512,556512,1/1/1855,01/01/2015,187.5146632,627.5284556,2.87E-06,src/main/resources/valipop/results/batch53-fs/20180707-021439:933,0,0,0.6,0.1,TRUE,147,11113.93018,NONE,55,851.7875942,,
20180707-024231:641,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189132,31250,TRUE,58439,1y,10y,248710,499274,499274,1/1/1855,01/01/2015,169.5250411,629.5711974,2.82E-06,src/main/resources/valipop/results/batch53-fs/20180707-024231:641,0,0,0.6,0.1,TRUE,147,13104.89626,NONE,16,833.1860323,,
20180707-023640:860,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192787,31250,TRUE,58439,1y,10y,249729,500767,500767,1/1/1855,01/01/2015,162.3855647,1022.516081,2.32E-06,src/main/resources/valipop/results/batch53-fs/20180707-023640:860,0,0,0.8,0,TRUE,147,9014.508224,NONE,11,816.2626861,,
20180707-030948:051,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1183573,31250,TRUE,58439,1y,10y,247816,497180,497180,1/1/1855,01/01/2015,165.005664,586.4211908,2.63E-06,src/main/resources/valipop/results/batch53-fs/20180707-030948:051,0,0,0.7,0.1,TRUE,147,8939.808016,NONE,22,805.8816967,,
20180707-031006:193,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1318804,31250,TRUE,58439,1y,10y,275935,553597,553597,1/1/1855,01/01/2015,178.0148973,1069.007287,2.63E-06,src/main/resources/valipop/results/batch53-fs/20180707-031006:193,0,0,0.8,0,TRUE,147,8874.474856,NONE,4,861.6021791,,
20180707-033549:475,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187538,31250,TRUE,58439,1y,10y,248620,498464,498464,1/1/1855,01/01/2015,166.1124429,600.5927775,2.91E-06,src/main/resources/valipop/results/batch53-fs/20180707-033549:475,0,0,0.7,0.1,TRUE,147,9013.222608,NONE,17,827.142667,,
20180707-034519:102,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1281147,31250,TRUE,58439,1y,10y,268125,537928,537928,1/1/1855,01/01/2015,170.9437688,1075.852217,2.40E-06,src/main/resources/valipop/results/batch53-fs/20180707-034519:102,0,0,0.9,0,TRUE,147,9200.324464,NONE,7,826.3640168,,
20180707-040227:687,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1227907,31250,TRUE,58439,1y,10y,256597,515609,515609,1/1/1855,01/01/2015,171.8266121,610.433052,3.20E-06,src/main/resources/valipop/results/batch53-fs/20180707-040227:687,0,0,0.7,0.1,TRUE,147,10833.13815,NONE,22,847.3082695,,
20180707-041956:452,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1232802,31250,TRUE,58439,1y,10y,257745,517644,517644,1/1/1855,01/01/2015,164.7354922,1055.735132,3.14E-06,src/main/resources/valipop/results/batch53-fs/20180707-041956:452,0,0,0.9,0,TRUE,147,11253.12602,NONE,18,835.952316,,
20180707-042941:773,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193450,31250,TRUE,58439,1y,10y,249588,501214,501214,1/1/1855,01/01/2015,168.7658413,570.8683024,2.95E-06,src/main/resources/valipop/results/batch53-fs/20180707-042941:773,0,0,0.8,0.1,TRUE,147,12679.22779,NONE,22,829.7347394,,
20180707-045555:529,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1322496,31250,TRUE,58439,1y,10y,276868,555123,555123,1/1/1855,01/01/2015,181.7826965,658.3805492,2.83E-06,src/main/resources/valipop/results/batch53-fs/20180707-045555:529,0,0,0.8,0.1,TRUE,147,8917.392712,NONE,19,845.864939,,
20180707-045416:930,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1323977,31250,TRUE,58439,1y,10y,276986,556538,556538,1/1/1855,01/01/2015,175.4238444,1071.451691,2.48E-06,src/main/resources/valipop/results/batch53-fs/20180707-045416:930,0,0,0.9,0,TRUE,147,11380.40618,NONE,2,859.1658097,,
20180707-052406:158,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191582,31250,TRUE,58439,1y,10y,249716,499644,499644,1/1/1855,01/01/2015,165.3084763,614.4936692,3.24E-06,src/main/resources/valipop/results/batch53-fs/20180707-052406:158,0,0,0.8,0.1,TRUE,147,10680.12466,NONE,22,821.2351369,,
20180707-055051:346,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186670,31250,TRUE,58439,1y,10y,248390,498437,498437,1/1/1855,01/01/2015,161.5025747,585.3565021,3.10E-06,src/main/resources/valipop/results/batch53-fs/20180707-055051:346,0,0,0.9,0.1,TRUE,147,10736.36294,NONE,16,816.8448829,,
20180707-061659:159,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1056741,31250,TRUE,58439,1y,10y,220824,443942,443942,1/1/1855,01/01/2015,145.8585523,570.7651944,2.88E-06,src/main/resources/valipop/results/batch53-fs/20180707-061659:159,0,0,0.9,0.1,TRUE,147,12776.9319,NONE,31,811.8750132,,
20180707-064231:564,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1182913,31250,TRUE,58439,1y,10y,247499,496355,496355,1/1/1855,01/01/2015,160.1910423,572.2914479,2.85E-06,src/main/resources/valipop/results/batch53-fs/20180707-064231:564,0,0,0.9,0.1,TRUE,147,11072.17698,NONE,15,828.3967695,,
20180707-070836:936,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188699,31250,TRUE,58439,1y,10y,248864,499266,499266,1/1/1855,01/01/2015,160.0972548,590.111203,3.00E-06,src/main/resources/valipop/results/batch53-fs/20180707-070836:936,0,0,1,0.1,TRUE,147,12535.44798,NONE,27,795.3235805,,
20180707-073426:982,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188395,31250,TRUE,58439,1y,10y,249004,499069,499069,1/1/1855,01/01/2015,159.317294,583.5749647,2.95E-06,src/main/resources/valipop/results/batch53-fs/20180707-073426:982,0,0,1,0.1,TRUE,147,8993.867832,NONE,35,760.5526612,,
20180707-075934:758,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184358,31250,TRUE,58439,1y,10y,247701,497193,497193,1/1/1855,01/01/2015,157.091696,567.1364818,3.61E-06,src/main/resources/valipop/results/batch53-fs/20180707-075934:758,0,0,1,0.1,TRUE,147,10452.49106,NONE,29,764.9453925,,
20180709-110457:347,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1061020,31250,TRUE,58439,1y,10y,221973,445399,445399,1/1/1855,01/01/2015,69.31998726,457.9570782,7.09E-06,src/main/resources/valipop/results/batch53-fs/20180709-110457:347,0,0,0.55,0,TRUE,147,6783.027696,NONE,6,338.4250745,,
20180709-110751:997,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1054690,31250,TRUE,58439,1y,10y,220702,443267,443267,1/1/1855,01/01/2015,72.05981969,293.7893484,6.43E-06,src/main/resources/valipop/results/batch53-fs/20180709-110751:997,0,0,0.55,0.05,TRUE,147,6099.26236,NONE,93,341.6113716,,
20180709-110815:180,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1057697,31250,TRUE,58439,1y,10y,221185,444148,444148,1/1/1855,01/01/2015,68.2860267,282.6215025,6.23E-06,src/main/resources/valipop/results/batch53-fs/20180709-110815:180,0,0,0.55,0.05,TRUE,147,5927.052344,NONE,16,339.9906341,,
20180709-110610:325,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185121,31250,TRUE,58439,1y,10y,247995,497986,497986,1/1/1855,01/01/2015,75.58697008,465.452805,7.76E-06,src/main/resources/valipop/results/batch53-fs/20180709-110610:325,0,0,0.55,0,TRUE,147,7040.01376,NONE,5,352.5773425,,
20180709-111016:640,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1056057,31250,TRUE,58439,1y,10y,220894,443491,443491,1/1/1855,01/01/2015,71.01638119,273.47298,6.40E-06,src/main/resources/valipop/results/batch53-fs/20180709-111016:640,0,0,0.5,0.3,TRUE,147,6210.98564,NONE,16,350.0411444,,
20180709-110943:017,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1053386,31250,TRUE,58439,1y,10y,220202,442160,442160,1/1/1855,01/01/2015,71.39710606,288.2961317,5.96E-06,src/main/resources/valipop/results/batch53-fs/20180709-110943:017,0,0,0.5,0.3,TRUE,147,5690.207976,NONE,18,378.0269241,,
20180709-111305:616,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1052462,31250,TRUE,58439,1y,10y,220264,441778,441778,1/1/1855,01/01/2015,72.0521731,273.5067673,6.04E-06,src/main/resources/valipop/results/batch53-fs/20180709-111305:616,0,0,0.5,0.8,TRUE,147,6367.004768,NONE,22,352.8911453,,
20180709-111235:934,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1181469,31250,TRUE,58439,1y,10y,247295,495803,495803,1/1/1855,01/01/2015,82.53554914,285.7774694,6.45E-06,src/main/resources/valipop/results/batch53-fs/20180709-111235:934,0,0,0.5,0.8,TRUE,147,5572.636664,NONE,22,368.9157131,,
20180709-111335:730,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1052480,31250,TRUE,58439,1y,10y,220160,441819,441819,1/1/1855,01/01/2015,74.40028254,273.2238802,6.62E-06,src/main/resources/valipop/results/batch53-fs/20180709-111335:730,0,0,0.5,0.8,TRUE,147,5743.587808,NONE,15,352.103886,,
20180709-111949:344,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1183818,31250,TRUE,58439,1y,10y,247531,496842,496842,1/1/1855,01/01/2015,73.35495504,290.0896569,2.18E-06,src/main/resources/valipop/results/batch53-fs/20180709-111949:344,0,0,0.55,0.05,TRUE,147,7222.564176,NONE,17,340.1829768,,
20180709-111942:822,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189905,31250,TRUE,58439,1y,10y,248872,499468,499468,1/1/1855,01/01/2015,80.67632252,303.470588,2.21E-06,src/main/resources/valipop/results/batch53-fs/20180709-111942:822,0,0,0.55,0.05,TRUE,147,7838.572816,NONE,21,352.565857,,
20180709-112154:514,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189508,31250,TRUE,58439,1y,10y,248883,499600,499600,1/1/1855,01/01/2015,78.87131059,288.6828353,1.84E-06,src/main/resources/valipop/results/batch53-fs/20180709-112154:514,0,0,0.5,0.3,TRUE,147,7886.80204,NONE,20,365.6413284,,
20180709-112204:070,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1227803,31250,TRUE,58439,1y,10y,256884,515483,515483,1/1/1855,01/01/2015,82.90129518,290.2572351,2.01E-06,src/main/resources/valipop/results/batch53-fs/20180709-112204:070,0,0,0.5,0.3,TRUE,147,7821.476648,NONE,22,358.9791726,,
20180709-111928:196,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192056,31250,TRUE,58439,1y,10y,249514,500505,500505,1/1/1855,01/01/2015,75.660001,489.3945278,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180709-111928:196,0,0,0.55,0,TRUE,147,7385.888456,NONE,1,350.3430739,,
20180709-110843:451,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1055677,31250,TRUE,58439,1y,10y,220982,443461,443461,1/1/1855,01/01/2015,164.0265882,633.5461042,7.86E-06,src/main/resources/valipop/results/batch53-fs/20180709-110843:451,0,0,0.55,0.05,TRUE,147,5557.828472,NONE,22,817.9291879,,
20180709-112107:580,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1378883,31250,TRUE,58439,1y,10y,288646,578837,578837,1/1/1855,01/01/2015,87.44522874,486.6327796,1.85E-06,src/main/resources/valipop/results/batch53-fs/20180709-112107:580,0,0,0.55,0,TRUE,147,7628.44536,NONE,21,360.7029494,,
20180709-112456:893,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190948,31250,TRUE,58439,1y,10y,249005,499563,499563,1/1/1855,01/01/2015,82.95959869,276.6771744,2.43E-06,src/main/resources/valipop/results/batch53-fs/20180709-112456:893,0,0,0.5,0.8,TRUE,147,7883.003664,NONE,22,361.7944407,,
20180709-112519:202,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191157,31250,TRUE,58439,1y,10y,249169,500502,500502,1/1/1855,01/01/2015,83.82321299,285.2821697,2.32E-06,src/main/resources/valipop/results/batch53-fs/20180709-112519:202,0,0,0.5,0.8,TRUE,147,7378.432736,NONE,23,364.2116354,,
20180709-112447:377,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1324322,31250,TRUE,58439,1y,10y,277186,555787,555787,1/1/1855,01/01/2015,88.68395156,306.8044838,1.94E-06,src/main/resources/valipop/results/batch53-fs/20180709-112447:377,0,0,0.5,0.8,TRUE,147,7859.640992,NONE,14,372.4663526,,
20180709-113202:238,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1177409,31250,TRUE,58439,1y,10y,246661,494339,494339,1/1/1855,01/01/2015,78.58816763,305.9781494,2.25E-06,src/main/resources/valipop/results/batch53-fs/20180709-113202:238,0,0,0.55,0.05,TRUE,147,6681.964056,NONE,16,352.9148304,,
