yob	sex	age	died	source	freq
1990	m	0	no	in	900
1990	m	0	yes	in	100
1990	m	1	no	in	891
1990	m	1	yes	in	9
1990	m	2	no	in	882.09
1990	m	2	yes	in	8.91
1990	f	0	no	in	500
1990	f	0	yes	in	500
1990	f	1	no	in	495
1990	f	1	yes	in	5
1990	f	2	no	in	490.05
1990	f	2	yes	in	4.95
1990	m	0	no	sim	901000
1990	m	0	yes	sim	99000
1990	m	1	no	sim	890000
1990	m	1	yes	sim	10000
1990	m	2	no	sim	882000
1990	m	2	yes	sim	9000
1990	f	0	no	sim	501000
1990	f	0	yes	sim	499000
1990	f	1	no	sim	494000
1990	f	1	yes	sim	6000
1990	f	2	no	sim	491000
1990	f	2	yes	sim	4000
