Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor
20170809-113532:294,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4202604,true,58804,1y,10y,718269,693833,718119,1/1/1855,1/1/2016,207.173788824,727.103257237,80.335419819,results/bf-search-c/20170809-113532:294,5.0E-5
20170809-115226:899,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192629,true,58804,1y,10y,718283,693855,718118,1/1/1855,1/1/2016,226.656520215,439.580052825,59.000734871,results/bf-search-c/20170809-115226:899,6.0E-5
20170809-114333:102,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8405321,true,58804,1y,10y,1436548,1387686,1436241,1/1/1855,1/1/2016,615.151889363,1019.12963749,140.301045461,results/bf-search-d/20170809-114333:102,0.0
20170809-114453:920,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8405237,true,58804,1y,10y,1436536,1387662,1436231,1/1/1855,1/1/2016,617.206826219,1012.003912649,151.524032225,results/bf-search-detailed-d/20170809-114453:920,0.0
20170809-120432:137,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192546,true,58804,1y,10y,718263,693830,718106,1/1/1855,1/1/2016,184.391472376,443.252061646,63.532716226,results/bf-search-c/20170809-120432:137,7.000000000000001E-5
20170809-121603:313,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192570,true,58804,1y,10y,718267,693836,718114,1/1/1855,1/1/2016,190.685507678,453.007161546,57.418692919,results/bf-search-c/20170809-121603:313,8.0E-5
20170809-121307:685,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8431557,true,58804,1y,10y,1444997,1402988,1444743,1/1/1855,1/1/2016,555.324550166,868.473811026,133.763621882,results/bf-search-d/20170809-121307:685,1.0E-4
20170809-122744:425,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192582,true,58804,1y,10y,718272,693836,718117,1/1/1855,1/1/2016,184.737847981,443.234649276,58.283799601,results/bf-search-c/20170809-122744:425,9.0E-5
20170809-121434:655,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8385321,true,58804,1y,10y,1436563,1387705,1436251,1/1/1855,1/1/2016,557.005651001,852.879145765,139.880783161,results/bf-search-detailed-d/20170809-121434:655,2.0E-5
20170809-123910:682,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4193131,true,58804,1y,10y,718397,693955,718237,1/1/1855,1/1/2016,189.312840468,447.52558407,57.028311087,results/bf-search-c/20170809-123910:682,1.0E-4
20170809-120012:709,bf-search-e,dev-bf,src/main/resources/scotland_test_population,16810354,true,58804,1y,10y,2873076,2775219,2872467,1/1/1855,1/1/2016,1158.68796623,1647.108352381,284.955956669,results/bf-search-e/20170809-120012:709,2.0E-5
20170809-125044:560,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4200680,true,58804,1y,10y,719854,696323,719715,1/1/1855,1/1/2016,183.456491306,423.194500837,59.633210455,results/bf-search-c/20170809-125044:560,1.1E-4
20170809-123905:248,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8477891,true,58804,1y,10y,1453381,1418516,1453165,1/1/1855,1/1/2016,544.219373488,838.121096787,148.308577769,results/bf-search-d/20170809-123905:248,2.0E-4
20170809-124024:421,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8385206,true,58804,1y,10y,1436544,1387674,1436233,1/1/1855,1/1/2016,529.64127797,829.231192572,149.044305402,results/bf-search-detailed-d/20170809-124024:421,4.0E-5
20170809-130150:845,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4207542,true,58804,1y,10y,721050,698660,720909,1/1/1855,1/1/2016,184.980618492,863.51820346,59.027713957,results/bf-search-c/20170809-130150:845,1.2E-4
20170809-132018:390,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4213565,true,58804,1y,10y,722167,700621,722031,1/1/1855,1/1/2016,179.664254221,410.709607405,56.216296512,results/bf-search-c/20170809-132018:390,1.3000000000000002E-4
20170809-130532:359,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8399841,true,58804,1y,10y,1439262,1392418,1438956,1/1/1855,1/1/2016,820.326958242,766.317822685,131.758583577,results/bf-search-detailed-d/20170809-130532:359,6.000000000000001E-5
20170809-130435:909,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8525714,true,58804,1y,10y,1461989,1434377,1461819,1/1/1855,1/1/2016,831.09561861,888.311428454,142.29976229,results/bf-search-d/20170809-130435:909,3.0000000000000003E-4
20170809-133104:981,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4219773,true,58804,1y,10y,723291,702693,723154,1/1/1855,1/1/2016,185.317700611,424.477418556,58.867599117,results/bf-search-c/20170809-133104:981,1.4000000000000001E-4
20170809-133410:770,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8419929,true,58804,1y,10y,1442876,1399073,1442614,1/1/1855,1/1/2016,507.060744114,757.781058968,125.556097583,results/bf-search-detailed-d/20170809-133410:770,8.0E-5
20170809-133537:625,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8571949,true,58804,1y,10y,1470350,1449892,1470227,1/1/1855,1/1/2016,536.338979508,752.753345645,127.087228614,results/bf-search-d/20170809-133537:625,4.0E-4
20170809-135721:168,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8431049,true,58804,1y,10y,1444860,1402870,1444601,1/1/1855,1/1/2016,487.05928493,745.593756454,126.97723916,results/bf-search-detailed-d/20170809-135721:168,1.0E-4
20170809-135913:805,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8621212,true,58804,1y,10y,1479118,1466538,1479052,1/1/1855,1/1/2016,488.830383802,778.020385514,132.731291484,results/bf-search-d/20170809-135913:805,5.0E-4
20170809-142000:799,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8438895,true,58804,1y,10y,1446240,1405573,1445981,1/1/1855,1/1/2016,488.88720852,737.351198094,126.688013529,results/bf-search-detailed-d/20170809-142000:799,1.2E-4
20170809-142233:388,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8668884,true,58804,1y,10y,1487874,1482498,1487842,1/1/1855,1/1/2016,496.507776184,741.071860788,132.966233146,results/bf-search-d/20170809-142233:388,6.000000000000001E-4
20170809-144233:726,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8444558,true,58804,1y,10y,1447307,1407460,1447060,1/1/1855,1/1/2016,485.206293403,767.173142674,128.460927545,results/bf-search-detailed-d/20170809-144233:726,1.4000000000000001E-4
20170809-144523:934,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8711917,true,58804,1y,10y,1495235,1497683,1497683,1/1/1855,1/1/2016,498.010845784,753.341299227,128.904241665,results/bf-search-d/20170809-144523:934,7.000000000000001E-4
20170809-150534:566,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8454618,true,58804,1y,10y,1449110,1410678,1448873,1/1/1855,1/1/2016,491.945731123,743.83654794,129.087295435,results/bf-search-detailed-d/20170809-150534:566,1.6E-4
20170809-150824:191,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8766791,true,58804,1y,10y,1505405,1515156,1515156,1/1/1855,1/1/2016,497.337037441,778.925088273,127.724107949,results/bf-search-d/20170809-150824:191,8.000000000000001E-4
20170809-152819:436,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8467630,true,58804,1y,10y,1451472,1415079,1451240,1/1/1855,1/1/2016,492.268913625,738.491727054,127.31179228,results/bf-search-detailed-d/20170809-152819:436,1.8E-4
20170809-153148:177,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8810778,true,58804,1y,10y,1513046,1530543,1530543,1/1/1855,1/1/2016,503.405532314,751.463009194,129.9104746,results/bf-search-d/20170809-153148:177,9.000000000000002E-4
20170809-155057:509,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8478781,true,58804,1y,10y,1453475,1418817,1453255,1/1/1855,1/1/2016,493.581375186,749.770629487,126.861602823,results/bf-search-detailed-d/20170809-155057:509,2.0E-4
20170809-161347:723,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8487436,true,58804,1y,10y,1455120,1421591,1454917,1/1/1855,1/1/2016,495.083408499,755.008235539,128.000242053,results/bf-search-detailed-d/20170809-161347:723,2.2E-4
20170809-163645:815,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8492905,true,58804,1y,10y,1455897,1423842,1455709,1/1/1855,1/1/2016,496.702611512,751.805413299,128.578261114,results/bf-search-detailed-d/20170809-163645:815,2.4E-4
20170809-165942:902,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8503795,true,58804,1y,10y,1458010,1427132,1457830,1/1/1855,1/1/2016,495.785354122,749.668570427,127.663956779,results/bf-search-detailed-d/20170809-165942:902,2.6000000000000003E-4
20170809-172236:020,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8515115,true,58804,1y,10y,1460035,1430992,1459842,1/1/1855,1/1/2016,498.476710858,747.345506945,142.662166859,results/bf-search-detailed-d/20170809-172236:020,2.8000000000000003E-4
20170809-174544:505,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8523437,true,58804,1y,10y,1461509,1433900,1461339,1/1/1855,1/1/2016,516.096274541,762.982191126,130.313001134,results/bf-search-detailed-d/20170809-174544:505,3.0000000000000003E-4
20170809-180913:897,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8532812,true,58804,1y,10y,1463304,1436741,1463132,1/1/1855,1/1/2016,495.965632281,749.172742976,150.527573717,results/bf-search-detailed-d/20170809-180913:897,3.2E-4
20170809-183229:564,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8542765,true,58804,1y,10y,1465130,1440098,1464982,1/1/1855,1/1/2016,511.115164185,748.316733069,125.639961687,results/bf-search-detailed-d/20170809-183229:564,3.4E-4
20170809-185534:636,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8552461,true,58804,1y,10y,1466829,1443395,1466694,1/1/1855,1/1/2016,493.766124125,725.288142536,119.978595555,results/bf-search-detailed-d/20170809-185534:636,3.6E-4
20170809-191753:669,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8562156,true,58804,1y,10y,1468563,1446633,1468437,1/1/1855,1/1/2016,491.056237384,742.380105161,138.975814497,results/bf-search-detailed-d/20170809-191753:669,3.8E-4
20170809-194046:082,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8574109,true,58804,1y,10y,1470697,1450375,1470592,1/1/1855,1/1/2016,504.844292512,741.467574522,124.427451648,results/bf-search-detailed-d/20170809-194046:082,4.0E-4
20170809-200336:822,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8580315,true,58804,1y,10y,1471728,1452837,1471613,1/1/1855,1/1/2016,495.644018808,739.626044211,130.286084831,results/bf-search-detailed-d/20170809-200336:822,4.2E-4
20170809-202622:379,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8586744,true,58804,1y,10y,1472603,1455425,1472494,1/1/1855,1/1/2016,512.893143746,745.455352374,126.934508904,results/bf-search-detailed-d/20170809-202622:379,4.4E-4
20170809-204927:662,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8596112,true,58804,1y,10y,1474408,1458406,1474314,1/1/1855,1/1/2016,494.000798396,735.421017146,145.094157209,results/bf-search-detailed-d/20170809-204927:662,4.6E-4
20170809-211222:179,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8608996,true,58804,1y,10y,1476678,1462716,1476612,1/1/1855,1/1/2016,512.455677312,754.48089495,126.671737854,results/bf-search-detailed-d/20170809-211222:179,4.8E-4
20170809-213535:787,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8619968,true,58804,1y,10y,1478964,1466426,1478868,1/1/1855,1/1/2016,492.7871136,740.326557804,125.561254134,results/bf-search-detailed-d/20170809-213535:787,5.0E-4
20170809-215814:463,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8625910,true,58804,1y,10y,1479831,1468373,1479759,1/1/1855,1/1/2016,490.125948467,728.544296991,121.162701616,results/bf-search-detailed-d/20170809-215814:463,5.200000000000001E-4
20170809-220815:260,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4203180,true,58804,1y,10y,718390,693961,718234,1/1/1855,1/1/2016,179.141230436,547.210263423,56.324229534,results/bf-search-c/20170809-220815:260,1.0E-4
20170809-222117:934,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4193539,true,58804,1y,10y,718481,694047,718327,1/1/1855,1/1/2016,178.814001152,422.351884916,54.164626933,results/bf-search-c/20170809-222117:934,1.01E-4
20170809-223213:265,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4193919,true,58804,1y,10y,718568,694147,718409,1/1/1855,1/1/2016,175.840283174,423.983145369,59.319172511,results/bf-search-c/20170809-223213:265,1.02E-4
20170809-224312:408,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4195021,true,58804,1y,10y,718807,694410,718653,1/1/1855,1/1/2016,178.301967083,430.150160343,56.059224573,results/bf-search-c/20170809-224312:408,1.03E-4
20170809-223408:392,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8405227,true,58804,1y,10y,1436531,1387665,1436229,1/1/1855,1/1/2016,515.601700383,967.770703337,140.443945451,results/bf-search-detailed-d/20170809-223408:392,4.0E-5
20170809-225416:920,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4195579,true,58804,1y,10y,718917,694584,718758,1/1/1855,1/1/2016,175.97136743,441.991504305,61.710667821,results/bf-search-c/20170809-225416:920,1.04E-4
20170809-230536:594,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4196600,true,58804,1y,10y,719101,694927,718949,1/1/1855,1/1/2016,173.786224287,401.690949983,57.424474915,results/bf-search-c/20170809-230536:594,1.0499999999999999E-4
20170809-230112:210,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8385232,true,58804,1y,10y,1436563,1387680,1436244,1/1/1855,1/1/2016,533.015002127,812.337420355,138.084069297,results/bf-search-detailed-d/20170809-230112:210,4.1E-5
20170809-231609:496,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4197323,true,58804,1y,10y,719243,695160,719090,1/1/1855,1/1/2016,172.35596475,414.861206205,56.583559855,results/bf-search-c/20170809-231609:496,1.0599999999999999E-4
20170809-232653:297,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4198487,true,58804,1y,10y,719448,695510,719292,1/1/1855,1/1/2016,171.853316509,411.724406736,57.052969327,results/bf-search-c/20170809-232653:297,1.0699999999999999E-4
20170809-224413:869,bf-search-e,dev-bf,src/main/resources/scotland_test_population,16810508,true,58804,1y,10y,2873107,2775252,2872502,1/1/1855,1/1/2016,1207.819438333,1704.170133869,293.363125547,results/bf-search-e/20170809-224413:869,2.1E-5
20170809-233733:928,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4198723,true,58804,1y,10y,719487,695636,719325,1/1/1855,1/1/2016,172.028969257,414.797138681,59.208072925,results/bf-search-c/20170809-233733:928,1.0799999999999998E-4
20170809-232555:647,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8385186,true,58804,1y,10y,1436550,1387671,1436233,1/1/1855,1/1/2016,508.867431224,800.417728375,141.373210504,results/bf-search-detailed-d/20170809-232555:647,4.2E-5
20170809-234819:962,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4199670,true,58804,1y,10y,719652,695938,719512,1/1/1855,1/1/2016,182.328315612,411.382477997,58.942667574,results/bf-search-c/20170809-234819:962,1.0899999999999998E-4
20170809-235912:616,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4200147,true,58804,1y,10y,719724,696165,719575,1/1/1855,1/1/2016,180.639861034,476.854717329,59.50203963,results/bf-search-c/20170809-235912:616,1.0999999999999998E-4
20170809-235006:306,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8385240,true,58804,1y,10y,1436562,1387685,1436244,1/1/1855,1/1/2016,510.57703626,859.778442111,142.825151339,results/bf-search-detailed-d/20170809-235006:306,4.2999999999999995E-5
20170810-001519:487,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8385247,true,58804,1y,10y,1436565,1387689,1436247,1/1/1855,1/1/2016,538.622493488,885.226669622,159.702906734,results/bf-search-detailed-d/20170810-001519:487,4.399999999999999E-5
20170809-233739:222,bf-search-e,dev-bf,src/main/resources/scotland_test_population,16770287,true,58804,1y,10y,2873084,2775244,2872476,1/1/1855,1/1/2016,1271.941977137,2586.451678657,748.431265167,results/bf-search-e/20170809-233739:222,2.2E-5
20170810-005030:106,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4202547,true,58804,1y,10y,718248,693829,718102,1/1/1855,1/1/2016,214.350328099,577.154908395,63.951593013,results/bf-search-c/20170810-005030:106,0.0
20170810-004143:040,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8385207,true,58804,1y,10y,1436555,1387678,1436236,1/1/1855,1/1/2016,549.873948512,848.270356565,147.507111523,results/bf-search-detailed-d/20170810-004143:040,4.499999999999999E-5
