YEAR	1930
POPULATION	SCOTLAND
SOURCE	NRS
VAR	DEATH
FORM	RATE
GENDER M
DATA
0	0.09346
1	0.02231
2	0.00906
3	0.00524
4	0.00379
5	0.00336
6	0.00302
7	0.00263
8	0.00230
9	0.00202
10	0.00180
11	0.00166
12	0.00160
13	0.00163
14	0.00176
15	0.00198
16	0.00232
17	0.00262
18	0.00289
19	0.00310
20	0.00326
21	0.00337
22	0.00345
23	0.00351
24	0.00352
25	0.00352
26	0.00353
27	0.00357
28	0.00364
29	0.00372
30	0.00383
31	0.00397
32	0.00416
33	0.00441
34	0.00471
35	0.00504
36	0.00540
37	0.00574
38	0.00607
39	0.00641
40	0.00676
41	0.00712
42	0.00753
43	0.00797
44	0.00845
45	0.00896
46	0.00948
47	0.01002
48	0.01052
49	0.01099
50	0.01151
51	0.01214
52	0.01297
53	0.01401
54	0.01520
55	0.01656
56	0.01805
57	0.01967
58	0.02138
59	0.02319
60	0.02518
61	0.02741
62	0.02999
63	0.03294
64	0.03625
65	0.03989
66	0.04385
67	0.04813
68	0.05270
69	0.05762
70	0.06295
71	0.06879
72	0.07522
73	0.08239
74	0.09034
75	0.09897
76	0.10819
77	0.11787
78	0.12817
79	0.13926
80	0.15098
81	0.16312
82	0.17542
83	0.18744
84	0.19927
85	0.21154
86	0.22498
87	0.24044
88	0.25729
89	0.27510
90	0.29388
91	0.31363
92	0.33437
93	0.35611
94	0.37882
95	0.40248
96	0.42706
97	0.45251
98	0.47876
99	0.50572
100	0.53333
101	0.56147
102	0.58998
103+	0.61873
