YEAR	1930
POPULATION	SCOTLAND
SOURCE	NRS
VAR	DEATH
FORM	RATE
GENDER F
DATA
0	0.07304
1	0.02065
2	0.00826
3	0.00490
4	0.00382
5	0.00316
6	0.00268
7	0.00223
8	0.00189
9	0.00166
10	0.00153
11	0.00149
12	0.00155
13	0.00169
14	0.00190
15	0.00218
16	0.00245
17	0.00262
18	0.00275
19	0.00286
20	0.00293
21	0.00301
22	0.00309
23	0.00318
24	0.00325
25	0.00333
26	0.00342
27	0.00352
28	0.00364
29	0.00378
30	0.00392
31	0.00407
32	0.00422
33	0.00436
34	0.00450
35	0.00464
36	0.00479
37	0.00496
38	0.00513
39	0.00531
40	0.00551
41	0.00573
42	0.00600
43	0.00632
44	0.00667
45	0.00706
46	0.00748
47	0.00794
48	0.00842
49	0.00891
50	0.00945
51	0.01006
52	0.01079
53	0.01163
54	0.01256
55	0.01358
56	0.01471
57	0.01594
58	0.01726
59	0.01867
60	0.02021
61	0.02189
62	0.02376
63	0.02575
64	0.02784
65	0.03015
66	0.03282
67	0.03597
68	0.03969
69	0.04393
70	0.04866
71	0.05387
72	0.05950
73	0.06564
74	0.07238
75	0.07971
76	0.08762
77	0.09609
78	0.10524
79	0.11516
80	0.12582
81	0.13718
82	0.14916
83	0.16203
84	0.17594
85	0.19063
86	0.20595
87	0.22078
88	0.23477
89	0.24952
90	0.26500
91	0.28126
92	0.29830
93	0.31614
94	0.33476
95	0.35417
96	0.37435
97	0.39531
98	0.41701
99	0.43943
100	0.46251
101	0.48622
102	0.51048
103	0.53524
104	0.56041
105	0.58590
106+	0.61159
